"gsm","donor","cond","celltype","x","y"
"GSM7717085","PWH27","Wound7","Fibroblast",2.2190816,0.24147053
"GSM7717087","PWH28","Skin","Fibroblast",-2.4075277,2.0016673
"GSM7717085","PWH27","Wound7","Fibroblast",-0.0543892,1.5550351
"GSM7717087","PWH28","Skin","Fibroblast",0.3701241,0.5609416
"GSM7717090","PWH28","Wound30","Fibroblast",3.1109917,0.09498403
"GSM7717087","PWH28","Skin","Fibroblast",-3.9057832,0.5998467
"GSM7717082","PWH26","Wound30","Fibroblast",3.1732023,-0.013046706
"GSM7717085","PWH27","Wound7","Fibroblast",-4.0338364,-0.47217104
"GSM7717081","PWH26","Wound7","Fibroblast",0.34053665,1.0073888
"GSM7717087","PWH28","Skin","Fibroblast",-1.9647554,0.73177403
"GSM7717081","PWH26","Wound7","Fibroblast",2.2011476,0.33352637
"GSM7717081","PWH26","Wound7","Fibroblast",0.83802307,0.71996623
"GSM7717090","PWH28","Wound30","Fibroblast",2.1674666,0.33933336
"GSM7717090","PWH28","Wound30","Fibroblast",1.7100904,0.22135662
"GSM7717082","PWH26","Wound30","Fibroblast",-4.0175695,0.4532781
"GSM7717085","PWH27","Wound7","Fibroblast",1.5360634,0.03709909
"GSM7717086","PWH27","Wound30","Fibroblast",3.2484007,0.28335702
"GSM7717086","PWH27","Wound30","Fibroblast",2.6193175,0.22989424
"GSM7717090","PWH28","Wound30","Fibroblast",1.6047122,-0.06954625
"GSM7717086","PWH27","Wound30","Fibroblast",1.5329514,-0.51995426
"GSM7717081","PWH26","Wound7","Fibroblast",4.442822,0.77111113
"GSM7717081","PWH26","Wound7","Fibroblast",-1.674009,-0.88092643
"GSM7717081","PWH26","Wound7","Fibroblast",-2.6257863,-1.0327771
"GSM7717084","PWH27","Wound1","Fibroblast",-2.1112506,-0.35579216
"GSM7717085","PWH27","Wound7","Fibroblast",-3.6186707,1.7633811
"GSM7717080","PWH26","Wound1","Fibroblast",-2.5756822,2.6751704
"GSM7717090","PWH28","Wound30","Fibroblast",1.9980116,-0.09654328
"GSM7717087","PWH28","Skin","Fibroblast",-3.0946016,3.6843004
"GSM7717087","PWH28","Skin","Fibroblast",-3.55246,0.8888078
"GSM7717090","PWH28","Wound30","Fibroblast",2.5135524,0.46019024
"GSM7717086","PWH27","Wound30","Fibroblast",2.9532835,0.28236505
"GSM7717081","PWH26","Wound7","Fibroblast",1.9200125,0.12164514
"GSM7717090","PWH28","Wound30","Fibroblast",3.0427063,0.21656772
"GSM7717090","PWH28","Wound30","Fibroblast",-3.7887352,1.6489637
"GSM7717085","PWH27","Wound7","Fibroblast",-2.729989,-0.82660913
"GSM7717083","PWH27","Skin","Fibroblast",-3.392846,-1.8313906
"GSM7717088","PWH28","Wound1","Fibroblast",-1.7100644,0.7386753
"GSM7717082","PWH26","Wound30","Fibroblast",2.2018676,0.25212133
"GSM7717082","PWH26","Wound30","Fibroblast",2.4838877,-0.06437082
"GSM7717085","PWH27","Wound7","Fibroblast",-3.5888515,1.6845604
"GSM7717081","PWH26","Wound7","Fibroblast",2.6494403,3.4996552
"GSM7717085","PWH27","Wound7","Fibroblast",-3.3574135,1.0092459
"GSM7717090","PWH28","Wound30","Fibroblast",4.3790827,-0.26505315
"GSM7717090","PWH28","Wound30","Fibroblast",-1.3853772,0.34698468
"GSM7717086","PWH27","Wound30","Fibroblast",-2.6119854,-0.51250505
"GSM7717090","PWH28","Wound30","Fibroblast",2.9353447,0.21666715
"GSM7717080","PWH26","Wound1","Fibroblast",-1.9490353,0.2595954
"GSM7717082","PWH26","Wound30","Fibroblast",-3.7494457,1.9654578
"GSM7717081","PWH26","Wound7","Fibroblast",2.364089,-0.17098929
"GSM7717090","PWH28","Wound30","Fibroblast",0.9013232,-0.014266756
"GSM7717082","PWH26","Wound30","Fibroblast",3.1303694,0.19734594
"GSM7717090","PWH28","Wound30","Fibroblast",2.0455654,0.41260377
"GSM7717090","PWH28","Wound30","Fibroblast",-3.7501683,-0.5350921
"GSM7717085","PWH27","Wound7","Fibroblast",2.9016085,-0.15355529
"GSM7717090","PWH28","Wound30","Fibroblast",-3.721744,0.40353242
"GSM7717086","PWH27","Wound30","Fibroblast",2.148766,-0.5083521
"GSM7717081","PWH26","Wound7","Fibroblast",2.9652913,0.12974027
"GSM7717090","PWH28","Wound30","Fibroblast",2.1512673,0.66719675
"GSM7717085","PWH27","Wound7","Fibroblast",0.50692606,1.6312927
"GSM7717087","PWH28","Skin","Fibroblast",1.093115,-3.3810198
"GSM7717086","PWH27","Wound30","Fibroblast",2.7343302,-0.07279691
"GSM7717081","PWH26","Wound7","Fibroblast",2.6651626,-0.15989129
"GSM7717085","PWH27","Wound7","Fibroblast",0.45843536,1.0508908
"GSM7717088","PWH28","Wound1","Fibroblast",-2.4452298,2.7549503
"GSM7717087","PWH28","Skin","Fibroblast",-3.7745907,0.9047576
"GSM7717087","PWH28","Skin","Fibroblast",-3.3773012,-0.39850804
"GSM7717084","PWH27","Wound1","Fibroblast",-0.5394996,-0.36884144
"GSM7717086","PWH27","Wound30","Fibroblast",-3.3708117,0.100506015
"GSM7717090","PWH28","Wound30","Fibroblast",2.6980991,0.09372652
"GSM7717085","PWH27","Wound7","Fibroblast",-3.6072793,0.8303131
"GSM7717085","PWH27","Wound7","Fibroblast",-2.7441247,0.83466923
"GSM7717085","PWH27","Wound7","Fibroblast",-3.7475798,0.4917954
"GSM7717089","PWH28","Wound7","Fibroblast",-2.1166792,-0.83749145
"GSM7717086","PWH27","Wound30","Fibroblast",2.3182652,0.20933999
"GSM7717083","PWH27","Skin","Fibroblast",-2.016377,-1.5530597
"GSM7717090","PWH28","Wound30","Fibroblast",-0.15929143,-0.15102577
"GSM7717086","PWH27","Wound30","Fibroblast",2.4834287,-0.30872574
"GSM7717087","PWH28","Skin","Fibroblast",-2.7943387,1.9122286
"GSM7717085","PWH27","Wound7","Fibroblast",0.08642111,1.0308878
"GSM7717086","PWH27","Wound30","Fibroblast",1.038096,-1.5590581
"GSM7717086","PWH27","Wound30","Fibroblast",0.82555526,0.34554836
"GSM7717090","PWH28","Wound30","Fibroblast",1.9646986,0.7980994
"GSM7717084","PWH27","Wound1","Fibroblast",5.0647564,-0.16799472
"GSM7717083","PWH27","Skin","Fibroblast",-3.812923,-0.31339702
"GSM7717090","PWH28","Wound30","Fibroblast",1.6095064,0.59003043
"GSM7717087","PWH28","Skin","Fibroblast",-3.1639388,-1.5530484
"GSM7717087","PWH28","Skin","Fibroblast",-3.3448217,-1.8545226
