"donor","cond","gene","cells","mean_log1p_cp10k","detected_fraction","pseudobulk_log1p_cp10k","scaled"
"Donor A","7","CHI3L1",920,0.00237634496340709,0.00434782608695652,0.00192662484181902,0.0344202969230966
"Donor A","7","FN1",920,2.25377161193468,0.975,2.82756157080466,0.596598092364915
"Donor A","7","MMP1",920,0.208968359807133,0.253260869565217,0.469008107085836,0.213141676573056
"Donor A","7","MMP3",920,0.0693124587783745,0.135869565217391,0.188555966256068,0.123935187021447
"Donor A","7","IL6",920,0.646133329845418,0.570652173913043,1.07566883692988,0.399018617705321
"Donor A","7","CXCL12",920,0.892456737399626,0.754347826086956,1.10738993890384,0.132621304670915
"Donor A","7","ACTA2",920,0.522383335627884,0.645652173913044,1.03793464545004,0.836193327801948
"Donor B","0","COL1A1",521,3.99757213683173,1,4.62394148322562,0.576707896841074
"Donor B","0","COL3A1",521,3.44903383840569,0.99232245681382,4.14978128567974,0.582447532410522
"Donor B","0","DCN",521,4.06298633639468,1,4.38449872092555,0.892978331375725
"Donor B","0","LUM",521,1.96359615134646,0.965451055662188,2.3270566301426,0.343360161165362
"Donor B","0","TIMP1",521,1.77148809593817,0.973128598848369,2.16469988226802,0.196970447096755
"Donor B","0","CHI3L1",521,0,0,0,0
"Donor B","0","FN1",521,1.78615032502333,0.936660268714012,2.11456344375709,0.322239886720863
"Donor B","0","MMP1",521,0.0137268631115545,0.0134357005758157,0.0347186931852894,0.0131475939764266
"Donor B","0","MMP3",521,0.000698532850857289,0.00191938579654511,0.00103853180059799,0
"Donor B","0","IL6",521,1.14024226477373,0.63147792706334,1.90169366863561,0.973564942603494
"Donor B","0","CXCL12",521,1.66343894413428,0.796545105566219,2.31491721355536,0.896748929724576
"Donor B","0","ACTA2",521,0.133104812103637,0.232245681381958,0.24647732448646,0.158598773431227
"Donor B","1","COL1A1",497,2.94158822629998,0.971830985915493,3.43685905590659,0.255482440316391
"Donor B","1","COL3A1",497,2.26913988938409,0.89738430583501,2.78126967379599,0.210171211084075
"Donor B","1","DCN",497,3.55226486587333,0.991951710261569,3.85650505770704,0.435779388523553
"Donor B","1","LUM",497,1.29933286427266,0.843058350100604,1.55493466117755,0.0841150880838342
"Donor B","1","TIMP1",497,2.93860073655931,0.993963782696177,3.58658798035564,0.872537051525068
"Donor B","1","CHI3L1",497,0,0,0,0
"Donor B","1","FN1",497,1.10854775403401,0.826961770623742,1.27713109813927,0
"Donor B","1","MMP1",497,0.661057329492185,0.30784708249497,2.17767986210512,1
"Donor B","1","MMP3",497,0.27939021118805,0.181086519114688,1.30166166585343,0.859615916948439
"Donor B","1","IL6",497,1.21114720406198,0.686116700201207,1.93969933134863,1
