donor,cond,gene,cells,mean_log1p_cp10k,detected_fraction,pseudobulk_log1p_cp10k
PWH27,Wound30,CXCL12,2096,0.9058946829503566,0.8177480916030534,1.1269214649013213
PWH27,Wound30,ACTA2,2096,0.34510139804334067,0.5262404580152672,0.6942378056931144
PWH27,Wound7,COL1A1,1992,4.5034978784526505,0.9984939759036144,5.005196853522936
PWH27,Wound7,COL3A1,1992,3.7977689315163916,0.9929718875502008,4.380390168601814
PWH27,Wound7,DCN,1992,3.27556716345607,0.9954819277108434,3.3532476479976077
PWH27,Wound7,LUM,1992,2.813193634177811,0.9809236947791165,3.312391494962612
PWH27,Wound7,TIMP1,1992,2.599547465288135,0.9919678714859438,2.9342303725465695
PWH27,Wound7,CHI3L1,1992,0.015627856505627556,0.02108433734939759,0.033389920139916617
PWH27,Wound7,FN1,1992,2.442821260363658,0.9668674698795181,3.0769824860262025
PWH27,Wound7,MMP1,1992,0.34834014112883815,0.31224899598393574,1.0222709806515442
PWH27,Wound7,MMP3,1992,0.178670939530949,0.18624497991967873,0.9441815839214751
PWH27,Wound7,IL6,1992,0.9712185560012351,0.6807228915662651,1.5117358668070282
PWH27,Wound7,CXCL12,1992,0.8066119946436903,0.7203815261044176,0.8978125890746811
PWH27,Wound7,ACTA2,1992,0.7048850436965951,0.7218875502008032,1.2292673370981186
PWH28,Skin,COL1A1,907,3.7368401480032754,0.9911797133406836,4.687048646494272
PWH28,Skin,COL3A1,907,3.201274584303254,0.9900771775082691,3.9990730873383242
PWH28,Skin,DCN,907,4.083345335758407,0.9900771775082691,4.508092101321798
PWH28,Skin,LUM,907,1.4135622887680472,0.8544652701212789,1.8407727258232705
PWH28,Skin,TIMP1,907,1.7666756634890959,0.9614112458654906,2.127212419696796
PWH28,Skin,CHI3L1,907,0.001722197907874266,0.0033076074972436605,0.0020604121285186143
PWH28,Skin,FN1,907,1.5427217239067685,0.9140022050716649,1.8768811355277362
PWH28,Skin,MMP1,907,0.0029254101409262206,0.004410143329658214,0.0061685440604228705
PWH28,Skin,MMP3,907,0.0008158976401608963,0.002205071664829107,0.0013740796774283084
PWH28,Skin,IL6,907,1.020229554888651,0.5898566703417861,1.8101971630310016
PWH28,Skin,CXCL12,907,1.8922885544760844,0.8379272326350606,2.478081689497163
PWH28,Skin,ACTA2,907,0.13063428905589702,0.22381477398015434,0.23645826502869158
PWH28,Wound1,COL1A1,260,3.169435699227666,1.0,3.680062206136819
PWH28,Wound1,COL3A1,260,2.3919658761808553,0.9423076923076923,2.8343901219901673
PWH28,Wound1,DCN,260,3.558475464472439,1.0,3.806004088271285
PWH28,Wound1,LUM,260,0.9779322143884394,0.7769230769230769,1.3044106814584242
PWH28,Wound1,TIMP1,260,3.0444155956834678,1.0,3.854863599955026
PWH28,Wound1,CHI3L1,260,0.02131137566729237,0.019230769230769232,0.05021030241590902
